# ----------------------------------------
# Cage Code Site Data
# Network
# 20160401-20180407
# ----------------------------------------

Service Provider,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
pldt_clac10ki01_dhcp,5,5,5,0.00%,3.20,00:04:06,0.00%,0,$0.00
plexus corporation,5,5,5,0.00%,3.40,00:01:58,0.00%,0,$0.00
pogozone,5,5,5,0.00%,3.40,00:02:07,0.00%,0,$0.00
polytron kunststofftechnik gmbh & co. kg,5,5,7,14.29%,2.29,00:02:12,0.00%,0,$0.00
poole,5,5,17,5.88%,3.53,00:04:35,0.00%,0,$0.00
portsmouth aviation ltd,5,5,5,0.00%,4.00,00:01:07,0.00%,0,$0.00
pppoe static ip pool,5,5,5,0.00%,2.80,00:00:42,0.00%,0,$0.00
pratt & whitney canada international inc.,5,4,7,0.00%,2.57,00:00:21,0.00%,0,$0.00
precision custom productsinc,5,5,5,0.00%,2.40,00:00:50,0.00%,0,$0.00
product development assoc,5,3,5,0.00%,2.60,00:01:02,0.00%,0,$0.00
production engineering corp,5,5,40,2.50%,3.42,00:03:32,0.00%,0,$0.00
providence health & services,5,5,10,40.00%,2.30,00:00:18,0.00%,0,$0.00
pt excelcomindo pratama,5,4,13,38.46%,2.38,00:01:10,0.00%,0,$0.00
pt. wireless indonesia,5,5,5,20.00%,2.80,00:00:23,0.00%,0,$0.00
pulaski electric system,5,5,5,0.00%,2.60,00:00:20,0.00%,0,$0.00
pulse power & measurement ltd,5,5,8,12.50%,4.75,00:01:54,0.00%,0,$0.00
pw power systems,5,7,10,10.00%,6.90,00:07:16,0.00%,0,$0.00
q9 networks inc.,5,5,5,20.00%,2.80,00:00:53,0.00%,0,$0.00
qorvo us inc,5,5,5,20.00%,3.20,00:00:41,0.00%,0,$0.00
qtel-adsl-pool,5,4,5,60.00%,2.60,00:00:59,0.00%,0,$0.00
quality concepts manufactring,5,5,9,33.33%,2.56,00:02:29,0.00%,0,$0.00
quality stamping,5,5,16,18.75%,2.06,00:00:12,0.00%,0,$0.00
quantitech inc.,5,5,9,0.00%,7.22,00:11:12,0.00%,0,$0.00
quantum data centers llc,5,5,5,0.00%,4.60,00:02:48,0.00%,0,$0.00
quest global engineering private limited,5,5,5,0.00%,3.40,00:01:04,0.00%,0,$0.00
qwest broadband services inc.,5,5,5,0.00%,3.40,00:12:03,0.00%,0,$0.00
r d s wire cable inc.,5,5,7,42.86%,1.86,00:00:29,0.00%,0,$0.00
ramnode llc,5,5,5,80.00%,2.00,00:00:21,0.00%,0,$0.00
rapid manufacturing,5,7,8,0.00%,3.12,00:01:08,0.00%,0,$0.00
rapidswitch ltd,5,3,8,12.50%,2.12,00:01:01,0.00%,0,$0.00
ray machine co,5,4,51,1.96%,3.02,00:05:25,0.00%,0,$0.00
rback8.akrnoh,5,5,5,20.00%,2.00,00:00:25,0.00%,0,$0.00
recaero india pvt ltd. no.28-c bidadi industrial area bida,5,5,5,0.00%,2.80,00:00:39,0.00%,0,$0.00
recombinant data corp,5,4,14,35.71%,3.00,00:03:47,0.00%,0,$0.00
red level networks,5,5,21,14.29%,2.52,00:04:33,0.00%,0,$0.00
rede brasileira de comunicacao ltda,5,4,27,48.15%,2.07,00:00:59,0.00%,0,$0.00
reed elsevier,5,5,7,42.86%,3.14,00:02:46,0.00%,0,$0.00
reliance gear ltd,5,4,5,0.00%,4.40,00:01:59,0.00%,0,$0.00
renaissance electronics corp,5,5,5,0.00%,3.20,00:01:21,0.00%,0,$0.00
reserve long distance company inc,5,5,7,14.29%,2.86,00:03:04,0.00%,0,$0.00
reynolds smith and hills inc.,5,5,10,10.00%,4.40,00:14:23,0.00%,0,$0.00
richmond power light,5,5,7,42.86%,2.29,00:00:34,0.00%,0,$0.00
rj murray,5,5,13,0.00%,3.54,00:01:21,0.00%,0,$0.00
robert precision engineering,5,5,12,0.00%,5.58,00:01:20,0.00%,0,$0.00
rockenstein ag,5,4,23,13.04%,2.96,00:03:41,0.00%,0,$0.00
roeder praezision gmbh,5,5,5,20.00%,3.20,00:00:22,0.00%,0,$0.00
rogers cable inc. mtmk,5,3,8,12.50%,16.75,00:18:52,0.00%,0,$0.00
rohde & schwarz,5,7,21,47.62%,3.33,00:04:39,0.00%,0,$0.00
roke manor research limited,5,5,17,5.88%,5.00,00:15:16,0.00%,0,$0.00
rolls-royce singapore pte ltd,5,5,5,0.00%,2.80,00:00:59,0.00%,0,$0.00
romtelecom data customers,5,5,5,0.00%,4.60,00:01:02,0.00%,0,$0.00
rotair industries,5,5,5,60.00%,2.00,00:00:41,0.00%,0,$0.00
russel reed,5,5,7,0.00%,3.71,00:02:54,0.00%,0,$0.00
rutronik elektronische bauelemente gmbh,5,5,7,42.86%,1.71,00:00:09,0.00%,0,$0.00
sada-proced pool-in5ras3c,5,5,5,60.00%,2.80,00:03:27,0.00%,0,$0.00
sada-prtd pool-in7ras2c,5,5,7,14.29%,3.00,00:00:26,0.00%,0,$0.00
salt mobile sa,5,5,7,71.43%,1.14,00:00:02,0.00%,0,$0.00
saudinet_dsl_pool,5,5,14,71.43%,1.50,00:02:01,0.00%,0,$0.00
sba (small business administration),5,5,7,57.14%,1.29,00:00:04,0.00%,0,$0.00
sc globalcity telecom srl,5,4,7,14.29%,2.86,00:00:48,0.00%,0,$0.00
scientific solutions inc,5,5,9,0.00%,8.56,00:18:28,0.00%,0,$0.00
scw diversified inc,5,5,7,14.29%,2.00,00:00:19,0.00%,0,$0.00
sdn communications inc.,5,5,12,0.00%,10.33,00:05:20,0.00%,0,$0.00
sea box inc,5,5,7,14.29%,2.57,00:00:32,0.00%,0,$0.00
secom inc,5,4,8,37.50%,2.12,00:00:20,0.00%,0,$0.00
segue manufacturing,5,5,7,14.29%,2.86,00:02:49,0.00%,0,$0.00
sei industries ltd,5,5,7,0.00%,3.71,00:00:32,0.00%,0,$0.00
semaly,5,5,5,20.00%,2.80,00:01:46,0.00%,0,$0.00
senior operations llc,5,5,5,0.00%,5.40,00:02:01,0.00%,0,$0.00
server block,5,5,5,100.00%,1.00,00:00:00,0.00%,0,$0.00
services banyan air,5,5,7,0.00%,2.43,00:00:11,0.00%,0,$0.00
shen te enterprises,5,5,7,0.00%,5.57,00:13:30,0.00%,0,$0.00
shoprite - foodland,5,5,8,12.50%,2.75,00:02:30,0.00%,0,$0.00
shrewsbury electric & community cable,5,5,7,14.29%,1.71,00:00:14,0.00%,0,$0.00
siemens medical solutions health services corporation,5,5,5,20.00%,6.00,00:03:11,0.00%,0,$0.00
sify limited,5,5,7,42.86%,1.86,00:02:13,0.00%,0,$0.00
sigma design,5,5,5,20.00%,2.40,00:00:17,0.00%,0,$0.00
sigma genosys,5,5,5,0.00%,3.20,00:00:32,0.00%,0,$0.00
silica networks argentina s.a.,5,4,5,20.00%,5.20,00:20:36,0.00%,0,$0.00
singapore jamco pte ltd,5,4,10,10.00%,4.20,00:01:41,0.00%,0,$0.00
sirala aviation consultin,5,5,267,42.70%,2.81,00:17:54,0.00%,0,$0.00
sky broadband,5,5,5,0.00%,4.00,00:01:07,0.00%,0,$0.00
skybroadband,5,5,5,20.00%,2.60,00:01:16,0.00%,0,$0.00
so389-84245,5,5,5,0.00%,2.80,00:00:26,0.00%,0,$0.00
so4-85259,5,4,43,0.00%,2.56,00:00:31,0.00%,0,$0.00
societe europeennes des satellites,5,4,10,10.00%,13.40,00:26:53,0.00%,0,$0.00
societe francaise du radiotelephone s.a.,5,5,5,60.00%,4.20,00:01:34,0.00%,0,$0.00
soco network solutions gmbh,5,5,7,42.86%,2.43,00:02:49,0.00%,0,$0.00
sogeclair aerospace gmbh,5,5,16,25.00%,4.00,00:02:18,0.00%,0,$0.00
solnet-broadband-vae-ist,5,5,5,20.00%,4.20,00:03:48,0.00%,0,$0.00
sonaca,5,5,8,12.50%,3.38,00:00:44,0.00%,0,$0.00
south alabama wireless,5,4,9,0.00%,3.00,00:00:56,0.00%,0,$0.00
south arkansas telephone company,5,5,13,7.69%,2.62,00:01:11,0.00%,0,$0.00
south lambeth,5,4,5,20.00%,2.60,00:00:44,0.00%,0,$0.00
spang and company,5,5,7,0.00%,3.00,00:00:34,0.00%,0,$0.00
spartan aerospace llc,5,5,8,12.50%,2.62,00:00:35,0.00%,0,$0.00
springhill suites new bern,5,5,7,0.00%,3.86,00:03:13,0.00%,0,$0.00
sprint anaheim pop,5,4,5,20.00%,2.60,00:00:52,0.00%,0,$0.00
sprint cheyenne pop,5,5,5,0.00%,2.40,00:03:02,0.00%,0,$0.00
sprint harrison pop,5,5,5,20.00%,2.40,00:00:20,0.00%,0,$0.00
sprint miami pop,5,5,5,0.00%,2.40,00:01:08,0.00%,0,$0.00
ssd vps,5,5,7,42.86%,1.43,00:00:08,0.00%,0,$0.00
staples inc,5,5,5,0.00%,2.80,00:01:21,0.00%,0,$0.00
star avation,5,5,5,20.00%,2.40,00:00:23,0.00%,0,$0.00
starhub swe business,5,5,5,60.00%,1.60,00:01:26,0.00%,0,$0.00
stark aerospace,5,5,9,0.00%,3.44,00:04:44,0.00%,0,$0.00
state of minnesota,5,5,5,20.00%,2.00,00:00:36,0.00%,0,$0.00
state street bank and trust company,5,5,5,20.00%,4.00,00:05:11,0.00%,0,$0.00
state university of new york at stony brook,5,5,5,20.00%,2.80,00:00:47,0.00%,0,$0.00
static-business-customers-216-228-174-network,5,5,90,3.33%,4.46,00:04:59,0.00%,0,$0.00
sts international,5,5,5,0.00%,2.00,00:00:17,0.00%,0,$0.00
sudokwonseobubonbu,5,5,7,14.29%,4.29,00:01:38,0.00%,0,$0.00
suntronic inc,5,5,9,33.33%,2.00,00:02:56,0.00%,0,$0.00
superlative technologies inc,5,5,7,0.00%,6.00,00:02:20,0.00%,0,$0.00
surfeasy inc,5,5,5,60.00%,2.00,00:00:22,0.00%,0,$0.00
swiftair s.a.,5,5,5,0.00%,3.20,00:01:33,0.00%,0,$0.00
systemmetrics corporation,5,5,5,60.00%,2.00,00:00:38,0.00%,0,$0.00
systems planning and analysis inc,5,5,8,0.00%,6.88,00:01:56,0.00%,0,$0.00
systems technologies,5,7,21,4.76%,4.71,00:03:53,0.00%,0,$0.00
t & g elektro as,5,5,7,0.00%,3.00,00:00:42,0.00%,0,$0.00
t-systems international,5,5,5,60.00%,8.00,00:16:58,0.00%,0,$0.00
tam metal product,5,5,20,25.00%,2.60,00:05:46,0.00%,0,$0.00
tat-technolegies-ltd-lan,5,5,5,60.00%,1.80,00:00:19,0.00%,0,$0.00
tct west inc,5,5,5,20.00%,1.80,00:00:10,0.00%,0,$0.00
tdc ip customers,5,5,5,0.00%,3.20,00:00:26,0.00%,0,$0.00
tdg fuer innofactory gmbh,5,5,5,20.00%,1.80,00:01:00,0.00%,0,$0.00
tdi power inc,5,5,7,0.00%,5.57,00:08:37,0.00%,0,$0.00
te data-new,5,5,7,57.14%,2.57,00:05:07,0.00%,0,$0.00
team health,5,5,5,20.00%,2.00,00:01:49,0.00%,0,$0.00
tecmotiv corporation,5,4,13,30.77%,2.08,00:00:40,0.00%,0,$0.00
tekify broadband,5,7,14,50.00%,2.36,00:01:21,0.00%,0,$0.00
telecommunication company of tehran,5,5,5,60.00%,1.80,00:00:33,0.00%,0,$0.00
telenor a/s,5,5,5,0.00%,2.80,00:00:57,0.00%,0,$0.00
tellas s.a.,5,4,5,20.00%,4.60,00:03:26,0.00%,0,$0.00
tellcom ankara adsl pool,5,5,5,20.00%,3.40,00:00:48,0.00%,0,$0.00
tellcom avrupa fiber dynamic,5,3,13,0.00%,6.31,00:08:45,0.00%,0,$0.00
telnet worldwide inc.,5,4,9,0.00%,3.22,00:01:16,0.00%,0,$0.00
telos corporation,5,5,5,0.00%,4.00,00:01:20,0.00%,0,$0.00
tenet networking centre,5,4,14,35.71%,3.00,00:01:13,0.00%,0,$0.00
teradata operations inc.,5,5,7,42.86%,1.71,00:00:42,0.00%,0,$0.00
terracom direct,5,5,5,20.00%,2.00,00:00:10,0.00%,0,$0.00
terremark culpeper,5,5,8,37.50%,2.00,00:04:12,0.00%,0,$0.00
texas a&m international university,5,4,5,0.00%,3.20,00:03:11,0.00%,0,$0.00
tfn media co. ltd.,5,4,29,44.83%,2.79,00:07:11,0.00%,0,$0.00
the ansul company,5,5,30,26.67%,5.47,00:09:37,0.00%,0,$0.00
the city of wadsworth,5,5,7,14.29%,3.57,00:01:35,0.00%,0,$0.00
the dow chemical company,5,5,5,0.00%,4.20,00:01:08,0.00%,0,$0.00
the municipal communications utility of the city of cedar falls,5,5,7,0.00%,10.43,00:10:24,0.00%,0,$0.00
the specialty bulb co,5,5,7,14.29%,3.29,00:02:48,0.00%,0,$0.00
thomson reuters (legal) inc.,5,5,7,0.00%,4.14,00:02:06,0.00%,0,$0.00
threshold communications inc.,5,5,5,0.00%,2.60,00:07:32,0.00%,0,$0.00
tierpoint,5,5,5,20.00%,1.80,00:00:15,0.00%,0,$0.00
tighitco - 5 oss,5,5,5,0.00%,3.40,00:00:40,0.00%,0,$0.00
timco - lake city,5,5,12,8.33%,3.17,00:00:42,0.00%,0,$0.00
tiscalinet,5,5,5,20.00%,1.80,00:01:19,0.00%,0,$0.00
tks telepost kabel-service kaiserslautern gmbh & co. kg,5,5,5,60.00%,1.60,00:00:03,0.00%,0,$0.00
tokai communications corporation,5,5,5,100.00%,1.00,00:00:00,0.00%,0,$0.00
tot public company limited bangkok,5,5,8,37.50%,2.88,00:02:01,0.00%,0,$0.00
transdigm,5,5,8,37.50%,2.62,00:01:34,0.00%,0,$0.00
transport canada,5,7,12,0.00%,3.67,00:01:11,0.00%,0,$0.00
transworld network corp.,5,5,5,0.00%,3.60,00:01:40,0.00%,0,$0.00
troy tube manufacturing co.,5,4,7,14.29%,2.43,00:00:21,0.00%,0,$0.00
tsi fuer takata-petri ag,5,5,5,0.00%,3.20,00:00:32,0.00%,0,$0.00
tsi fuer weidmueller interface gmbh & co,5,5,8,87.50%,1.12,00:00:03,0.00%,0,$0.00
tst gmbh,5,5,7,14.29%,2.43,00:00:19,0.00%,0,$0.00
tt adsl-tt net_ dinamik_ulus,5,1,7,14.29%,2.57,00:00:20,0.00%,0,$0.00
tt adsl-tt net_dynamic_aci,5,5,9,11.11%,2.78,00:04:53,0.00%,0,$0.00
tt adsl-ttnet 2.bolge dinamik,5,4,8,37.50%,2.88,00:01:08,0.00%,0,$0.00
tt adsl-ttnet alc dynamic_ulus,5,0,13,7.69%,2.31,00:01:08,0.00%,0,$0.00
tubitak-uekae iltaren,5,5,5,20.00%,14.40,00:06:48,0.00%,0,$0.00
tularosa communications inc.,5,5,5,20.00%,1.80,00:00:10,0.00%,0,$0.00
turbo combuster technology inc,5,5,5,60.00%,1.60,00:00:09,0.00%,0,$0.00
turknet iletisim hizmetleri a.s,5,4,5,0.00%,2.80,00:00:32,0.00%,0,$0.00
tvcabo mozambique,5,5,5,20.00%,2.80,00:00:41,0.00%,0,$0.00
tw metals,5,5,5,80.00%,4.00,00:05:02,0.00%,0,$0.00
u.s. center for disease control and prevention,5,5,5,80.00%,2.60,00:00:21,0.00%,0,$0.00
u.s. department of defense education activity europe,5,5,5,20.00%,4.00,00:01:17,0.00%,0,$0.00
u.s. dept. of agriculture - fmha,5,5,5,20.00%,2.00,00:00:14,0.00%,0,$0.00
u.s. geological survey,5,5,5,0.00%,3.20,00:00:40,0.00%,0,$0.00
uap inc.,5,5,5,0.00%,3.60,00:00:55,0.00%,0,$0.00
uecomm,5,4,9,0.00%,2.22,00:00:15,0.00%,0,$0.00
umniah mobile company,5,3,7,42.86%,2.00,00:02:36,0.00%,0,$0.00
united group limited,5,5,7,14.29%,3.29,00:00:56,0.00%,0,$0.00
united states sports academy,5,4,10,10.00%,7.40,00:08:16,0.00%,0,$0.00
university of california,5,5,5,0.00%,4.40,00:02:19,0.00%,0,$0.00
university of chicago,5,5,7,14.29%,2.00,00:00:11,0.00%,0,$0.00
university of connecticut,5,5,5,60.00%,2.80,00:06:52,0.00%,0,$0.00
university of kansas,5,5,5,0.00%,2.80,00:03:27,0.00%,0,$0.00
university of louisville,5,5,5,0.00%,2.80,00:00:40,0.00%,0,$0.00
university of minnesota,5,5,5,0.00%,3.20,00:04:57,0.00%,0,$0.00
university of nebraska-lincoln,5,5,5,60.00%,2.00,00:00:18,0.00%,0,$0.00
university of nevada reno,5,4,5,60.00%,2.00,00:01:39,0.00%,0,$0.00
university of southern california,5,5,5,20.00%,2.00,00:00:13,0.00%,0,$0.00
university of sydney,5,5,5,0.00%,3.40,00:00:56,0.00%,0,$0.00
unwired,5,5,5,60.00%,1.80,00:00:18,0.00%,0,$0.00
urban networks inc.,5,5,7,71.43%,1.14,00:00:01,0.00%,0,$0.00
us internet corp,5,5,7,57.14%,2.86,00:03:41,0.00%,0,$0.00
utah broadband llc,5,4,5,20.00%,2.80,00:00:44,0.00%,0,$0.00
utair aviation jsc,5,5,188,30.32%,3.19,00:10:42,0.00%,0,$0.00
vaioni group ltd,5,5,7,42.86%,2.86,00:00:41,0.00%,0,$0.00
varitech inc.,5,4,9,33.33%,4.89,00:05:09,0.00%,0,$0.00
venture media consultancy pte ltd,5,4,9,44.44%,2.78,00:03:06,0.00%,0,$0.00
versatel deutschland,5,4,5,20.00%,2.60,00:02:11,0.00%,0,$0.00
vif internet,5,3,12,8.33%,5.08,00:10:10,0.00%,0,$0.00
vipowernet,5,5,5,60.00%,7.60,00:02:58,0.00%,0,$0.00
vivace corp,5,5,9,0.00%,3.33,00:03:45,0.00%,0,$0.00
vodafone data routes,5,4,5,60.00%,2.40,00:00:25,0.00%,0,$0.00
vodafone ltd,5,5,5,20.00%,5.80,00:08:18,0.00%,0,$0.00
volia subnet,5,5,9,55.56%,2.56,00:01:45,0.00%,0,$0.00
volvo information technology,5,5,9,55.56%,3.33,00:01:04,0.00%,0,$0.00
vosky precision,5,5,7,0.00%,6.29,00:04:14,0.00%,0,$0.00
vpn consumer network,5,3,5,60.00%,2.00,00:00:52,0.00%,0,$0.00
vpntranet llc.,5,5,5,60.00%,1.80,00:00:17,0.00%,0,$0.00
w-techlink,5,5,5,0.00%,2.60,00:04:30,0.00%,0,$0.00
waldon electronics,5,5,5,20.00%,2.40,00:00:56,0.00%,0,$0.00
wardley,5,5,12,25.00%,4.33,00:09:38,0.00%,0,$0.00
washington university,5,5,5,60.00%,3.20,00:01:45,0.00%,0,$0.00
wavenet ll static block,5,5,7,42.86%,2.00,00:01:08,0.00%,0,$0.00
wbmc rc bras ip pool,5,5,7,14.29%,2.43,00:01:14,0.00%,0,$0.00
west kentucky rural telephone cooperative corporation inc.,5,5,8,37.50%,2.62,00:00:36,0.00%,0,$0.00
west virginia network for educational telecomputing,5,5,5,0.00%,4.60,00:06:11,0.00%,0,$0.00
western shelter systems,5,5,5,0.00%,3.60,00:00:44,0.00%,0,$0.00
wil sonw alton intern,5,5,5,0.00%,2.80,00:06:18,0.00%,0,$0.00
wilson wilson,5,4,5,0.00%,5.80,00:01:31,0.00%,0,$0.00
wind hellas telecommunications sa,5,5,5,60.00%,2.00,00:00:30,0.00%,0,$0.00
wind telecomunicazioni,5,4,7,0.00%,3.86,00:03:17,0.00%,0,$0.00
wireless customers,5,5,5,0.00%,2.60,00:00:37,0.00%,0,$0.00
wisconsin physcians service insurance corp.,5,5,8,87.50%,1.25,00:00:10,0.00%,0,$0.00
woods hole oceanographic institution,5,5,5,0.00%,2.40,00:00:19,0.00%,0,$0.00
world micro components inc.,5,5,8,0.00%,2.75,00:00:52,0.00%,0,$0.00
wpti telecom llc,5,5,8,0.00%,3.88,00:01:15,0.00%,0,$0.00
wti communications-anaheim pr,5,1,16,0.00%,2.75,00:04:22,0.00%,0,$0.00
wuerth elektronik eisos gmbh & co. kg,5,5,5,80.00%,1.60,00:00:25,0.00%,0,$0.00
x ray industries,5,5,7,42.86%,2.57,00:00:58,0.00%,0,$0.00
x-campus,5,5,5,0.00%,5.20,00:03:37,0.00%,0,$0.00
xc networks ltd.,5,5,5,0.00%,2.40,00:00:09,0.00%,0,$0.00
xchange telecom corp.,5,5,5,0.00%,2.80,00:00:47,0.00%,0,$0.00
xerox corporation,5,5,5,0.00%,5.80,00:02:10,0.00%,0,$0.00
xfactor verizon,5,5,7,0.00%,3.14,00:01:06,0.00%,0,$0.00
yeunhabjeongmil,5,5,5,80.00%,1.60,00:00:16,0.00%,0,$0.00
ziggo b.v.,5,7,7,0.00%,2.29,00:00:15,0.00%,0,$0.00
zodiac cabin controls gmbh,5,5,5,0.00%,5.40,00:06:36,0.00%,0,$0.00
zonetel internet connectivity,5,5,8,0.00%,2.75,00:00:27,0.00%,0,$0.00
zray technologies corporation,5,5,7,14.29%,4.43,00:05:27,0.00%,0,$0.00
1089440768,4,4,8,12.50%,14.38,00:15:44,0.00%,0,$0.00
12825 rangoon street,4,4,23,13.04%,5.83,00:09:38,0.00%,0,$0.00
15b 53 55 corporate drive bridgewater nj 08807 usa,4,4,4,0.00%,5.50,00:01:13,0.00%,0,$0.00
19 taiseng drive,4,4,4,0.00%,2.00,00:00:31,0.00%,0,$0.00
203.100.240.0/20,4,4,4,0.00%,4.50,00:05:55,0.00%,0,$0.00
203.143.224.0/19,4,4,4,0.00%,4.00,00:02:11,0.00%,0,$0.00
2nd saudinet dsl customers_dynamic ips,4,3,7,57.14%,1.29,00:00:26,0.00%,0,$0.00
360networks (usa) inc.,4,4,5,20.00%,2.40,00:00:13,0.00%,0,$0.00
3m company,4,4,5,0.00%,5.80,00:07:48,0.00%,0,$0.00
3rd allocation intenum11,4,3,4,0.00%,4.25,00:05:49,0.00%,0,$0.00
3rd allocation intenum12,4,5,5,20.00%,2.40,00:00:43,0.00%,0,$0.00
41/46 piccadilly,4,4,14,7.14%,2.50,00:00:26,0.00%,0,$0.00
640 ellicott street llc,4,4,4,75.00%,1.25,00:00:03,0.00%,0,$0.00
a j letizio sales & marke,4,4,4,75.00%,1.25,00:00:02,0.00%,0,$0.00
a j sheriff electrical ltd,4,4,7,0.00%,2.86,00:03:05,0.00%,0,$0.00
a. schulman international services bvba,4,4,4,75.00%,7.25,00:04:45,0.00%,0,$0.00
abbott laboratories,4,3,16,0.00%,2.88,00:04:16,0.00%,0,$0.00
abs information systems inc.,4,4,7,0.00%,3.00,00:00:32,0.00%,0,$0.00
acc-bruce aerospace,4,4,5,20.00%,2.00,00:04:09,0.00%,0,$0.00
acc-chevron phillips chemical,4,4,4,0.00%,3.00,00:00:21,0.00%,0,$0.00
acc-flexfab llc,4,4,4,0.00%,2.00,00:00:23,0.00%,0,$0.00
acc-gyros unlimited dba north,4,4,5,0.00%,2.60,00:00:27,0.00%,0,$0.00
acc-l-com,4,4,4,75.00%,2.25,00:07:32,0.00%,0,$0.00
acc-phoenix broadband llc,4,4,4,25.00%,2.50,00:00:44,0.00%,0,$0.00
acn,4,4,5,0.00%,3.20,00:05:31,0.00%,0,$0.00
acuity brands inc.,4,4,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
ad engineering inc,4,4,4,25.00%,2.00,00:00:30,0.00%,0,$0.00
adams catv inc.,4,4,4,0.00%,4.00,00:00:32,0.00%,0,$0.00
adams networks inc,4,4,7,0.00%,3.00,00:00:42,0.00%,0,$0.00
adams networks inc.,4,4,4,75.00%,1.75,00:00:31,0.00%,0,$0.00
adcom,4,4,33,9.09%,2.97,00:04:14,0.00%,0,$0.00
additional ip,4,4,4,0.00%,4.00,00:01:03,0.00%,0,$0.00
address for sener internal use,4,4,4,25.00%,2.25,00:00:09,0.00%,0,$0.00
administrative office of the united states courts sid-19043,4,4,4,25.00%,3.00,00:01:08,0.00%,0,$0.00
adsl pool,4,3,4,0.00%,2.25,00:00:50,0.00%,0,$0.00
adsl users,4,4,4,0.00%,2.50,00:01:03,0.00%,0,$0.00
adsl-acibadem-dynamic pool,4,3,5,0.00%,5.80,00:05:59,0.00%,0,$0.00
adsl21,4,4,4,0.00%,5.75,00:03:03,0.00%,0,$0.00
adtech,4,4,4,0.00%,5.25,00:02:34,0.00%,0,$0.00
advanced it concepts inc,4,4,4,0.00%,3.00,00:00:49,0.00%,0,$0.00
advanced medical care,4,3,9,11.11%,2.33,00:00:29,0.00%,0,$0.00
aecom/ccsi,4,4,4,25.00%,7.50,00:09:34,0.00%,0,$0.00
aer marine supply,4,4,4,0.00%,15.00,00:13:56,0.00%,0,$0.00
aerocon engineering,4,4,5,0.00%,3.40,00:02:07,0.00%,0,$0.00
aeroflex ltd,4,4,5,0.00%,5.40,00:07:18,0.00%,0,$0.00
aerospace distributors,4,4,4,25.00%,1.75,00:00:08,0.00%,0,$0.00
africair,4,3,12,8.33%,1.83,00:00:06,0.00%,0,$0.00
afrihost-dynamic,4,4,4,0.00%,2.25,00:03:36,0.00%,0,$0.00
agency for health care policy & research,4,4,5,0.00%,2.40,00:00:35,0.00%,0,$0.00
agfa gevaert nv,4,4,5,0.00%,2.00,00:00:31,0.00%,0,$0.00
air indu stries machin,4,4,5,20.00%,5.20,00:04:07,0.00%,0,$0.00
air medical group holdings,4,4,5,0.00%,3.60,00:01:08,0.00%,0,$0.00
airframe,4,4,7,42.86%,2.29,00:05:39,0.00%,0,$0.00
airindus tries gr,4,4,5,60.00%,1.60,00:00:09,0.00%,0,$0.00
airservices australia,4,4,4,25.00%,2.50,00:06:51,0.00%,0,$0.00
airspeed telecom customer 1428,4,4,4,25.00%,2.50,00:00:28,0.00%,0,$0.00
ais mobile,4,4,4,25.00%,2.25,00:00:33,0.00%,0,$0.00
aj levin company,4,4,7,42.86%,1.71,00:00:13,0.00%,0,$0.00
ak stamping co inc,4,4,4,0.00%,6.25,00:01:58,0.00%,0,$0.00
akzonobel,4,4,4,25.00%,3.50,00:04:23,0.00%,0,$0.00
al guerra,4,4,7,42.86%,2.43,00:02:56,0.00%,0,$0.00
alan meyer07252013150255145,4,4,4,0.00%,3.25,00:00:39,0.00%,0,$0.00
alconza berango s.l.,4,4,9,11.11%,15.22,00:23:22,0.00%,0,$0.00
algerie telecom - fawri,4,4,4,25.00%,3.50,00:08:20,0.00%,0,$0.00
all metals processing,4,4,4,0.00%,2.50,00:00:43,0.00%,0,$0.00
all power manufacturing,4,4,7,0.00%,2.86,00:00:24,0.00%,0,$0.00
all west communications inc.,4,4,4,0.00%,2.50,00:00:18,0.00%,0,$0.00
allband communications cooperative,4,4,4,0.00%,2.25,00:00:17,0.00%,0,$0.00
allen systems group,4,4,4,0.00%,3.50,00:08:52,0.00%,0,$0.00
allo communications llc,4,4,4,25.00%,2.00,00:00:11,0.00%,0,$0.00
allocated to bangalore corporate customers,4,4,4,0.00%,6.25,00:04:30,0.00%,0,$0.00
alloy die casting,4,4,4,0.00%,2.00,00:00:15,0.00%,0,$0.00
alltel - little rock,4,4,4,25.00%,2.00,00:00:18,0.00%,0,$0.00
alltel communications of north carolina,4,4,4,75.00%,1.75,00:00:16,0.00%,0,$0.00
alltele allmanna svenska telefonaktiebolaget,4,4,4,25.00%,2.25,00:00:43,0.00%,0,$0.00
allways on service for euro-docsis modems,4,4,4,0.00%,3.25,00:01:00,0.00%,0,$0.00
alma telephone,4,4,4,75.00%,2.00,00:00:23,0.00%,0,$0.00
alp utilities business communications,4,4,4,0.00%,3.00,00:00:47,0.00%,0,$0.00
alphalink,4,4,8,62.50%,3.25,00:00:48,0.00%,0,$0.00
altamira technologies corp,4,4,4,0.00%,7.75,00:11:37,0.00%,0,$0.00
altius broadband llc,4,4,4,25.00%,2.50,00:06:44,0.00%,0,$0.00
altran,4,4,5,20.00%,2.40,00:00:16,0.00%,0,$0.00
america movil peru s.a.c.,4,4,7,57.14%,1.43,00:02:48,0.00%,0,$0.00
american broadband & telecommunications company,4,3,8,0.00%,3.38,00:03:28,0.00%,0,$0.00
